FIELD_1,FIELD_2,FIELD_3,FIELD_4,TAR_SLOPE.,TARRAWAR,TAR_PROFCU,TAR_ASPECT,TAR_PLANCU,TAR_MCURV.
2,920,1020,51.40000000,0.09193610,98.27999878,0.00164295,3.56642795,-0.00084309,0.00079987
2,920,1010,50.60000000,0.10842622,97.36000061,0.00143332,3.54769087,-0.00023306,0.00120026
2,920,1000,47.50000000,0.11812699,96.30000305,0.00075121,3.50332260,-0.00035052,0.00040070
2,920,990,49.10000000,0.12427635,95.13999939,0.00005695,3.45068288,-0.00045703,-0.00040009
2,920,980,48.50000000,0.12719266,93.91999817,-0.00050536,3.41881633,-0.00029481,-0.00080017
2,920,970,47.10000000,0.12476778,92.69999695,-0.00050167,3.40784621,-0.00029881,-0.00080048
2,920,960,47.00000000,0.12140426,91.50000000,-0.00077405,3.39850330,-0.00042590,-0.00119995
2,920,950,46.80000000,0.11759456,90.34999847,0.00002753,3.40710044,0.00037225,0.00039978
2,920,940,48.00000000,0.11311490,89.23000336,-0.00031397,3.42714787,-0.00008551,-0.00039948
2,920,930,46.60000000,0.10555452,88.16999817,-0.00133652,3.44841814,-0.00066360,-0.00200012
2,920,920,53.10000000,0.08989602,87.23000336,-0.00194929,3.44580555,-0.00005022,-0.00199951
2,920,910,47.50000000,0.07481371,86.44000244,-0.00168563,3.37038803,-0.00071397,-0.00239960
2,920,900,54.80000000,0.06121706,85.76999664,-0.00135996,3.23963499,-0.00144064,-0.00280060
2,920,890,49.70000000,0.05295110,85.19999695,-0.00120026,3.14159274,-0.00160034,-0.00280060
2,920,880,52.50000000,0.04921441,84.69999695,-0.00034776,3.03991270,-0.00125258,-0.00160034
2,920,870,54.60000000,0.04879721,84.22000122,0.00013133,2.95625043,-0.00053111,-0.00039978
2,920,860,53.30000000,0.04996888,83.73000336,-0.00042295,2.94028068,0.00002347,-0.00039948
2,940,890,48.20000000,0.07544105,85.55999756,-0.00078350,3.59340858,0.00038281,-0.00040070
2,940,900,46.90000000,0.07996000,86.23999786,-0.00115003,3.64990449,-0.00085010,-0.00200012
2,940,910,47.10000000,0.09055360,87.00000000,-0.00079608,3.58553791,-0.00120374,-0.00199982
2,940,920,50.90000000,0.09921186,87.87000275,-0.00065844,3.53329086,-0.00094099,-0.00159943
2,940,930,47.70000000,0.10715199,88.83000183,-0.00113512,3.49274158,-0.00126448,-0.00239960
2,940,940,48.90000000,0.11553884,89.90000153,-0.00022170,3.46606445,-0.00017777,-0.00039948
2,940,950,46.90000000,0.12427635,91.02999878,-0.00109095,3.47600341,-0.00090887,-0.00199982
2,940,960,47.60000000,0.12965299,92.23999786,-0.00029766,3.50216317,-0.00050251,-0.00080017
2,940,970,45.30000000,0.13149394,93.47000122,-0.00009649,3.49682331,-0.00070307,-0.00079956
2,940,980,46.80000000,0.13267758,94.72000122,0.00003781,3.47755599,-0.00083737,-0.00079956
